Study Identifier,Comments,Intervention,Intervention Name,Intervention Type,Adverse drug reaction Endpoint %,Adverse drug reaction Endpoint N, Adverse effects - physician-rated with the DOTES Endpoint %, Adverse effects - physician-rated with the DOTES Endpoint N,Adverse events Endpoint %,Adverse events Endpoint N,Adverse Events 3 months [Acute phase post-intervention] %,Adverse Events 3 months [Acute phase post-intervention] N,Adverse Events 6 months [Continuation phase post-intervention] %,Adverse Events 6 months [Continuation phase post-intervention] N,Adverse Events At least one adverse event of at least moderate intensity %,Adverse Events At least one adverse event of at least moderate intensity N,Adverse Events Ednpoint %,Adverse Events Ednpoint N,Adverse Events Endpoint %,Adverse Events Endpoint N,Adverse Events Endpoint (completer analysis n=74) %,Adverse Events Endpoint (completer analysis n=74) N,Adverse Events Endpoint (N discontinued treatment due to adverse events) %,Adverse Events Endpoint (N discontinued treatment due to adverse events) N,"Adverse Events Endpoint (no tabulation, just given in a figure) %","Adverse Events Endpoint (no tabulation, just given in a figure) N",Adverse Events No AEs %,Adverse Events No AEs N,Adverse Events Patient drop-out due to adverse event %,Adverse Events Patient drop-out due to adverse event N,Adverse events (moderate to severe side-effects) Endpoint %,Adverse events (moderate to severe side-effects) Endpoint N
Grace 1985,"Title: Controlled, double-blind, randomized trial of amitriptyline in relieving articular pain and tenderness in patients with rheumatoid arthritis",Placebo,NA,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grace 1985,"Title: Controlled, double-blind, randomized trial of amitriptyline in relieving articular pain and tenderness in patients with rheumatoid arthritis",Amitriptyline 50-75mg,Amitriptyline,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heymann 2001,"Title: A double-blind, randomized, controlled study of amitriptyline, nortriptyline and placebo in patients with fibromyalgia. An analysis of outcome measures",Amitriptyline 25mg,Amitriptyline,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heymann 2001,"Title: A double-blind, randomized, controlled study of amitriptyline, nortriptyline and placebo in patients with fibromyalgia. An analysis of outcome measures",Nortriptyline 25mg,Nortriptyline,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heymann 2001,"Title: A double-blind, randomized, controlled study of amitriptyline, nortriptyline and placebo in patients with fibromyalgia. An analysis of outcome measures",Placebo,NA,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creed 2003,Title: Psychodynamic interpersonal therapy and improvement in interpersonal difficulties in people with severe irritable bowel syndrome,Psychotherapy,NA,Psychological therapy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creed 2003,Title: Psychodynamic interpersonal therapy and improvement in interpersonal difficulties in people with severe irritable bowel syndrome,Paroxetine 20mg,Paroxetine,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creed 2003,Title: Psychodynamic interpersonal therapy and improvement in interpersonal difficulties in people with severe irritable bowel syndrome,Usual treatment,NA,Usual care,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russell 2008,"Title: Efficacy and safety of duloxetine for treatment of fibromyalgia in patients with or without major depressive disorder: Results from a 6-month, randomized, double-blind, placebo-controlled, fixed-dose trial",Placebo,NA,Placebo,,,,,,,77.1,111,81.9,118,,,,,,,,,,,,,,,,,,
Russell 2008,"Title: Efficacy and safety of duloxetine for treatment of fibromyalgia in patients with or without major depressive disorder: Results from a 6-month, randomized, double-blind, placebo-controlled, fixed-dose trial",Duloxetine - 20 then 60mg,Duloxetine,Antidepressant,,,,,,,83.5,66,86.1,68,,,,,,,,,,,,,,,,,,
Russell 2008,"Title: Efficacy and safety of duloxetine for treatment of fibromyalgia in patients with or without major depressive disorder: Results from a 6-month, randomized, double-blind, placebo-controlled, fixed-dose trial",Duloxetine - 60mg,Duloxetine,Antidepressant,,,,,,,82.7,124,85.3,128,,,,,,,,,,,,,,,,,,
Russell 2008,"Title: Efficacy and safety of duloxetine for treatment of fibromyalgia in patients with or without major depressive disorder: Results from a 6-month, randomized, double-blind, placebo-controlled, fixed-dose trial",Duloxetine - 120mg,Duloxetine,Antidepressant,,,,,,,89.1,131,89.8,132,,,,,,,,,,,,,,,,,,
Urquhart 2018,Title: Efficacy of Low-Dose Amitriptyline for Chronic Low Back Pain: A Randomized Clinical Trial,Benzotropine mesylate 1mg,NA,Active placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,31.8,
Urquhart 2018,Title: Efficacy of Low-Dose Amitriptyline for Chronic Low Back Pain: A Randomized Clinical Trial,Amitriptyline 25mg,Amitriptyline,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,26.5,
Hannonen 1998,"Title: A randomized, double-blind, placebo-controlled study of moclobemide and amitriptyline in the treatment of fibromyalgia in females without psychiatric disorder",Moclobemide 450mg,Moclobemide,Antidepressant,,,,,,,,,,,,,,,77,,,,,,,,,,,,,
Hannonen 1998,"Title: A randomized, double-blind, placebo-controlled study of moclobemide and amitriptyline in the treatment of fibromyalgia in females without psychiatric disorder",Amitriptyline 25mg,Amitriptyline,Antidepressant,,,,,,,,,,,,,,,74,,,,,,,,,,,,,
Hannonen 1998,"Title: A randomized, double-blind, placebo-controlled study of moclobemide and amitriptyline in the treatment of fibromyalgia in females without psychiatric disorder",Placebo,NA,Placebo,,,,,,,,,,,,,,,80,,,,,,,,,,,,,
Kim 2013,"Title: Effects of milnacipran on neurocognition, pain, and fatigue in fibromyalgia: A 13-week, randomized, placebo-controlled, crossover trial",Placebo,NA,Placebo,,,,,,,,,,,,,,,90,18,,,,,,,,,,,,
Kim 2013,"Title: Effects of milnacipran on neurocognition, pain, and fatigue in fibromyalgia: A 13-week, randomized, placebo-controlled, crossover trial",Milnacipran (12.5 - 200mg),Milnacipran,Antidepressant,,,,,,,,,,,,,,,60,12,,,,,,,,,,,,
Schukro 2016,"Title: Efficacy of Duloxetine in Chronic Low Back Pain with a Neuropathic Component: A Randomized, Double-blind, Placebo-controlled Crossover Trial",Placebo,NA,Placebo,,,,,,,,,,,,,,,62,18,,,,,,,,,,,,
Schukro 2016,"Title: Efficacy of Duloxetine in Chronic Low Back Pain with a Neuropathic Component: A Randomized, Double-blind, Placebo-controlled Crossover Trial",Duloxetine ≤120mg,Duloxetine,Antidepressant,,,,,,,,,,,,,,,65,20,,,,,,,,,,,,
Raskin 2005,"Title: A double-blind, randomized multicenter trial comparing duloxetine with placebo in the management of diabetic peripheral neuropathic pain",Placebo,NA,Placebo,,,,,,,,,,,,,,,49.1,57,,,,,,,,,,,,
Raskin 2005,"Title: A double-blind, randomized multicenter trial comparing duloxetine with placebo in the management of diabetic peripheral neuropathic pain",Duloxetine 60mg (60mgQD),Duloxetine,Antidepressant,,,,,,,,,,,,,,,61.2,71,,,,,,,,,,,,
Raskin 2005,"Title: A double-blind, randomized multicenter trial comparing duloxetine with placebo in the management of diabetic peripheral neuropathic pain",Duloxetine 120mg (60mgBID),Duloxetine,Antidepressant,,,,,,,,,,,,,,,62.9,73,,,,,,,,,,,,
Norregaard 1995,Title: A randomized controlled trial of citalopram in the treatment of fibromyalgia,Placebo,NA,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norregaard 1995,Title: A randomized controlled trial of citalopram in the treatment of fibromyalgia,Citalopram - 20-40mg,Citalopram,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calderon 2011,Title: Effectiveness of cognitive-behavioral therapy and amitriptyline in patients with chronic temporomandibular disorders-a pilot study,Placebo only,NA,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calderon 2011,Title: Effectiveness of cognitive-behavioral therapy and amitriptyline in patients with chronic temporomandibular disorders-a pilot study,Placebo and CBT,N,Placebo + cognitive behavioural therapy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calderon 2011,Title: Effectiveness of cognitive-behavioral therapy and amitriptyline in patients with chronic temporomandibular disorders-a pilot study,Amitriptyline - 25mg,Amitriptyline,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calderon 2011,Title: Effectiveness of cognitive-behavioral therapy and amitriptyline in patients with chronic temporomandibular disorders-a pilot study,Amitriptyline - 25mg and CBT,Amitriptyline,Antidepressant and psychological therapy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leijon 1989,Title: Central post-stroke pain - A controlled trial of amitriptyline and carbamazepine,Placebo,NA,Placebo,,,,,,,,,,,,,,,46.67,7,,,,,,,,,,,,
Leijon 1989,Title: Central post-stroke pain - A controlled trial of amitriptyline and carbamazepine,Amitriptyline 75mg,Amitriptyline,Antidepressant,,,,,,,,,,,,,,,93.34,14,,,,,,,,,,,,
Leijon 1989,Title: Central post-stroke pain - A controlled trial of amitriptyline and carbamazepine,Carbamazepine 800mg,NA,Anticonvulsant,,,,,,,,,,,,,,,85.71,12,,,,,,,,,,,,
Shakiba 2018,Title: Saffron (Crocus sativus) versus duloxetine for treatment of patients with fibromyalgia: A randomized double-blind clinical trial,Saffron 15mg,NA,Active comparator,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shakiba 2018,Title: Saffron (Crocus sativus) versus duloxetine for treatment of patients with fibromyalgia: A randomized double-blind clinical trial,Duloxetine 30mg,Duloxetine,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yeephu 2013,Title: Efficacy and safety of mirtazapine in fibromyalgia syndrome patients: a randomized placebo-controlled pilot study,Placebo,N,Placebo,,,,,,,,,,,,,,,100,13,,,,,,,,,,,,
Yeephu 2013,Title: Efficacy and safety of mirtazapine in fibromyalgia syndrome patients: a randomized placebo-controlled pilot study,Mirtazapine 15mg,Mirtazapine,Antidepressant,,,,,,,,,,,,,,,100,13,,,,,,,,,,,,
Yeephu 2013,Title: Efficacy and safety of mirtazapine in fibromyalgia syndrome patients: a randomized placebo-controlled pilot study,Mirtazapine 30mg,N,Antidepressant,,,,,,,,,,,,,,,100,14,,,,,,,,,,,,
Suttiruksa 2016,"Title: Effects of mirtazapine on quality of life of Thai patients with fibromyalgia syndrome: A double-blind, randomized, placebo-controlled trial",Placebo,NA,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suttiruksa 2016,"Title: Effects of mirtazapine on quality of life of Thai patients with fibromyalgia syndrome: A double-blind, randomized, placebo-controlled trial",Mirtazapine 15mg,Mirtazapine,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suttiruksa 2016,"Title: Effects of mirtazapine on quality of life of Thai patients with fibromyalgia syndrome: A double-blind, randomized, placebo-controlled trial",Mirtazapine 30mg,Mirtazapine,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldstein 2005,Title: Duloxetine vs. placebo in patients with painful diabetic neuropathy,Placebo,NA,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldstein 2005,Title: Duloxetine vs. placebo in patients with painful diabetic neuropathy,Duloxetine 20mg,Duloxetine,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldstein 2005,Title: Duloxetine vs. placebo in patients with painful diabetic neuropathy,Duloxetine 60mg,Duloxetine,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldstein 2005,Title: Duloxetine vs. placebo in patients with painful diabetic neuropathy,Duloxetine 120mg,Duloxetine,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murakami 2015,"Title: A randomized, double-blind, placebo-controlled phase III trial of duloxetine in Japanese fibromyalgia patients",Placebo,NA,Placebo,,,,,,,,,,,,,,,62.8,123,,,,,,,,,,,,
Murakami 2015,"Title: A randomized, double-blind, placebo-controlled phase III trial of duloxetine in Japanese fibromyalgia patients",Duloxetine - 60mg,Duloxetine,Antidepressant,,,,,,,,,,,,,,,76.3,148,,,,,,,,,,,,
Patkar 2007,"Title: A randomized, controlled, trial of controlled release paroxetine in fibromyalgia",Placebo,NA,Placebo,,,,,,,,,,,,,,,58.6,34,,,,,,,,,,,,
Patkar 2007,"Title: A randomized, controlled, trial of controlled release paroxetine in fibromyalgia",Paroxetine CR (12.5-62.5mg),Paroxetine,Antidepressant,,,,,,,,,,,,,,,65.5,38,,,,,,,,,,,,
Robinson 2004,Title: Trial of amitriptyline for relief of pain in amputees: results of a randomized controlled study,Benztropine mesylate (Active placebo),Benztropine mesylate,Active placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robinson 2004,Title: Trial of amitriptyline for relief of pain in amputees: results of a randomized controlled study,Amitriptyline ≤125mg,Amitriptyline,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forssell 2004,Title: Venlafaxine in the treatment of atypical facial pain: a randomized controlled trial,Venlafaxine 37.5 - 75mg,Venlafaxine,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forssell 2004,Title: Venlafaxine in the treatment of atypical facial pain: a randomized controlled trial,Placebo,NA,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joharchi 2019,"Title: Efficacy and safety of duloxetine and Pregabalin in Iranian patients with diabetic peripheral neuropathic pain: a double-blind, randomized clinical trial",Duloxetine 30-60mg,Duloxetine,Antidepressant,,,,,,,,,,,,,,,74,67,,,,,,,,,,,,
Joharchi 2019,"Title: Efficacy and safety of duloxetine and Pregabalin in Iranian patients with diabetic peripheral neuropathic pain: a double-blind, randomized clinical trial",Pregabalin 150-300mg,Pregabalin,Anticonvulsant,,,,,,,,,,,,,,,37,34,,,,,,,,,,,,
Yucel 2005,"Title: The effect of venlafaxine on ongoing and experimentally induced pain in neuropathic pain patients: a double blind, placebo controlled study",Placebo,NA,Placebo,,,,,,,,,,,,,,,55,11,,,,,,,,,,,,
Yucel 2005,"Title: The effect of venlafaxine on ongoing and experimentally induced pain in neuropathic pain patients: a double blind, placebo controlled study",Venlafaxine 75mg,Venlafaxine,Antidepressant,,,,,,,,,,,,,,,45,9,,,,,,,,,,,,
Yucel 2005,"Title: The effect of venlafaxine on ongoing and experimentally induced pain in neuropathic pain patients: a double blind, placebo controlled study",Venlafaxine 150mg,Venlafaxine,Antidepressant,,,,,,,,,,,,,,,70,14,,,,,,,,,,,,
Tasmuth 2002,Title: Venlafaxine in neuropathic pain following treatment of breast cancer,Placebo,NA,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tasmuth 2002,Title: Venlafaxine in neuropathic pain following treatment of breast cancer,Venlafaxine 37.5 mg,,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tasmuth 2002,Title: Venlafaxine in neuropathic pain following treatment of breast cancer,Placebo 2,NA,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tasmuth 2002,Title: Venlafaxine in neuropathic pain following treatment of breast cancer,Venlafaxine 75mg,Venlafaxine,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vranken 2011,"Title: Duloxetine in patients with central neuropathic pain caused by spinal cord injury or stroke: a randomized, double-blind, placebo-controlled trial",Placebo,NA,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vranken 2011,"Title: Duloxetine in patients with central neuropathic pain caused by spinal cord injury or stroke: a randomized, double-blind, placebo-controlled trial",Duloxetine (60-120mg),Duloxetine,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staud 2015,Title: Effects of milnacipran on clinical pain and hyperalgesia of patients with fibromyalgia: results of a 6-week randomized controlled trial,Placebo,NA,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staud 2015,Title: Effects of milnacipran on clinical pain and hyperalgesia of patients with fibromyalgia: results of a 6-week randomized controlled trial,Milnacipran 100mg,Milnacipran,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee 2016,Title: Effect of Milnacipran on Pain in Patients with Rheumatoid Arthritis with Widespread Pain: A Randomized Blinded Crossover Trial,Placebo,NA,Placebo,,,,,,,,,,,,,,,19.51,8,,,,,,,,,,,,
Lee 2016,Title: Effect of Milnacipran on Pain in Patients with Rheumatoid Arthritis with Widespread Pain: A Randomized Blinded Crossover Trial,Milnacipran 100mg,Milnacipran,Antidepressant,,,,,,,,,,,,,,,41.46,17,,,,,,,,,,,,
Mease 2009,"Title: The efficacy and safety or milnacipran for treatment of fibromyalgia. A randomized, double-blind, placebo-controlled trial. No protocol.",Placebo,NA,Placebo,,,,,,,,,,,,,,,85.2,,,,,,,,,,,,,
Mease 2009,"Title: The efficacy and safety or milnacipran for treatment of fibromyalgia. A randomized, double-blind, placebo-controlled trial. No protocol.",Milnacipran 100mg,Milnacipran,Antidepressant,,,,,,,,,,,,,,,83.9,,,,,,,,,,,,,
Mease 2009,"Title: The efficacy and safety or milnacipran for treatment of fibromyalgia. A randomized, double-blind, placebo-controlled trial. No protocol.",Milnacipran 200mg,Milnacipran,Antidepressant,,,,,,,,,,,,,,,90.7,,,,,,,,,,,,,
Razazian 2014,"Title: Evaluation of the efficacy and safety of pregabalin, venlafaxine, and carbamazepine in patients with painful diabetic peripheral neuropathy. A randomized, double-blind trial",Carbamazepine 400mg/day,Carbamazepine ,Anticonvulsant,,,,,,,,,,,,,,,12.9,11,,,,,,,,,,,,
Razazian 2014,"Title: Evaluation of the efficacy and safety of pregabalin, venlafaxine, and carbamazepine in patients with painful diabetic peripheral neuropathy. A randomized, double-blind trial",Pregabalin 150mg/day,Pregabalin ,Anticonvulsant,,,,,,,,,,,,,,,73.2,63,,,,,,,,,,,,
Razazian 2014,"Title: Evaluation of the efficacy and safety of pregabalin, venlafaxine, and carbamazepine in patients with painful diabetic peripheral neuropathy. A randomized, double-blind trial",Venlafaxine 150mg/day,Venlafaxine ,Antidepressant,,,,,,,,,,,,,,,63.9,55,,,,,,,,,,,,
Natelson 2015,"Title: Effect of Milnacipran Treatment on Ventricular Lactate in Fibromyalgia: A Randomized, Double-Blind, Placebo-Controlled Trial",Placebo,NA,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natelson 2015,"Title: Effect of Milnacipran Treatment on Ventricular Lactate in Fibromyalgia: A Randomized, Double-Blind, Placebo-Controlled Trial",Milnacipran 100mg,Milnacipran,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Majdinasab 2019,Title: A comparative double-blind randomized study on the effectiveness of Duloxetine and Gabapentin on painful diabetic peripheral polyneuropathy,Gabapentin - 300-900mg,Gabapentin,Anticonvulsant,,,,,,,,,,,,,,,17.3,9,,,,,,,,,,,,
Majdinasab 2019,Title: A comparative double-blind randomized study on the effectiveness of Duloxetine and Gabapentin on painful diabetic peripheral polyneuropathy,Duloxetine - 30-60mg,Duloxetine,Antidepressant,,,,,,,,,,,,,,,3.9,2,,,,,,,,,,,,
Gilron 2015,Title: Combination of morphine with nortriptyline for neuropathic pain,Morphine,NA,Painkiller,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilron 2015,Title: Combination of morphine with nortriptyline for neuropathic pain,Nortriptyline,"Nortriptyline	",Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilron 2015,Title: Combination of morphine with nortriptyline for neuropathic pain,Nortriptyline + Morphine,"Nortriptyline	",Combination painkiller and antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gao 2010,Title: Duloxetine versus placebo in the treatment of patients with diabetic neuropathic pain in China,Placebo,NA,Placebo,,,,,,,,,,,,,,,71.6,78,,,,,,,,,,,,
Gao 2010,Title: Duloxetine versus placebo in the treatment of patients with diabetic neuropathic pain in China,Duloxetine - 60-120mg,Duloxetine,Antidepressant,,,,,,,,,,,,,,,81.1,86,,,,,,,,,,,,
Skljarevski 2010,"Title: Maintenance of effect of duloxetine in patients with chronic low back pain: a 41-week uncontrolled, dose-blinded study",Placebo,NA,Placebo,,,,,,,,,,,,,,,48.76,59,,,,,,,,,,,,
Skljarevski 2010,"Title: Maintenance of effect of duloxetine in patients with chronic low back pain: a 41-week uncontrolled, dose-blinded study",Duloxetine - 60-120mg,Duloxetine,Antidepressant,,,,,,,,,,,,,,,62.61,72,,,,,,,,,,,,
Matthey 2013,"Title: Dual reuptake inhibitor milnacipran and spinal pain pathways in fibromyalgia patients: a randomized, double-blind, placebo-controlled trial",Placebo,NA,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthey 2013,"Title: Dual reuptake inhibitor milnacipran and spinal pain pathways in fibromyalgia patients: a randomized, double-blind, placebo-controlled trial",Milnacipran - 100-200mg,Milnacipran,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gould 2020,"Title: A randomized placebo-controlled trial of desipramine, cognitive behavioral therapy, and active placebo therapy for low back pain",Placebo,Benztropine mesylate,Active placebo,,,,,,,,,,,,,,,35.3,6,,,,,,,,,,,,
Gould 2020,"Title: A randomized placebo-controlled trial of desipramine, cognitive behavioral therapy, and active placebo therapy for low back pain",Desipramine,Desipramine hydrochloride,Antidepressant,,,,,,,,,,,,,,,70.6,12,,,,,,,,,,,,
Gould 2020,"Title: A randomized placebo-controlled trial of desipramine, cognitive behavioral therapy, and active placebo therapy for low back pain",Placebo + CBT,Benztropine mesylate and Cognitive Behavioural Therapy (CBT),Active placebo + psychological therapy,,,,,,,,,,,,,,,40,8,,,,,,,,,,,,
Gould 2020,"Title: A randomized placebo-controlled trial of desipramine, cognitive behavioral therapy, and active placebo therapy for low back pain",Desipramine + CBT,Desipramine hydrochloride and Cognitive Behavioural Therapy (CBT),Antidepressant + psychological therapy,,,,,,,,,,,,,,,43.8,7,,,,,,,,,,,,
Gilron 2009,"Title: Nortriptyline and gabapentin, alone and in combination for neuropathic pain: a double-blind, randomised controlled crossover trial",Gabapentin,Gabapentin,Anticonvulsant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilron 2009,"Title: Nortriptyline and gabapentin, alone and in combination for neuropathic pain: a double-blind, randomised controlled crossover trial",Nortriptyline,"	Nortriptyline",Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilron 2009,"Title: Nortriptyline and gabapentin, alone and in combination for neuropathic pain: a double-blind, randomised controlled crossover trial",Gabapentin + Nortriptyline,Gabapentin + Nortriptyline,Anticonvulsant + Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yasuda 2011,Title: Superiority of duloxetine to placebo in improving diabetic neuropathic pain: Results of a randomized controlled trial in Japan,Placebo,NA,Placebo,,,,,,,,,,,,,,,73.7,123,,,,,,,,,,,,
Yasuda 2011,Title: Superiority of duloxetine to placebo in improving diabetic neuropathic pain: Results of a randomized controlled trial in Japan,Duloxetine - 40mg,Duloxetine,Antidepressant,,,,,,,,,,,,,,,84.7,72,,,,,,,,,,,,
Yasuda 2011,Title: Superiority of duloxetine to placebo in improving diabetic neuropathic pain: Results of a randomized controlled trial in Japan,Duloxetine - 60mg,Duloxetine,Antidepressant,,,,,,,,,,,,,,,84.9,73,,,,,,,,,,,,
Skljarevski 2010,"Title: Duloxetine versus placebo in patients with chronic low back pain: a 12-week, fixed-dose, randomized, double-blind trial. Brazil listed as one of the countries with 2 sites in the protocol but not listed in the study.",Placebo,NA,Placebo,,,,,,,,,,,,,,,,,,,,,55.17,112,,,,,,
Skljarevski 2010,"Title: Duloxetine versus placebo in patients with chronic low back pain: a 12-week, fixed-dose, randomized, double-blind trial. Brazil listed as one of the countries with 2 sites in the protocol but not listed in the study.",Duloxetine 60mg,Duloxetine,Antidepressant,,,,,,,,,,,,,,,,,,,,,62.12,123,,,,,,
Wang 2017,"Title: Efficacy and safety of duloxetine in Chinese patients with chronic pain due to osteoarthritis: a randomized, double-blind, placebo-controlled study",Placebo,NA,Placebo,,,,,,,,,,,,,,,42.42,84,,,,,,,,,,,,
Wang 2017,"Title: Efficacy and safety of duloxetine in Chinese patients with chronic pain due to osteoarthritis: a randomized, double-blind, placebo-controlled study",Duloxetine - 60mg,Duloxetine,Antidepressant,,,,,,,,,,,,,,,61.31,122,,,,,,,,,,,,
Macfarlane 1986,Title: Trimipramine in rheumatoid arthritis: a randomized double-blind trial in relieving pain and joint tenderness,Placebo,NA,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macfarlane 1986,Title: Trimipramine in rheumatoid arthritis: a randomized double-blind trial in relieving pain and joint tenderness,Trimipramine - 25-75mg,Trimipramine ,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iwaki 2020,"Title: A double-blind, randomized controlled trial of duloxetine for pain in Parkinson's disease",Placebo,NA,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iwaki 2020,"Title: A double-blind, randomized controlled trial of duloxetine for pain in Parkinson's disease",Duloxetine - 40mg,Duloxetine,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sofat 2016,Title: Pregabalin is more effective in treating hand osteoarthritis pain than duloxetine or placebo: A double-blind randomized controlled trial,Placebo,NA,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sofat 2016,Title: Pregabalin is more effective in treating hand osteoarthritis pain than duloxetine or placebo: A double-blind randomized controlled trial,Pregabalin 300mg,Pregabalin,Anticonvulsant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sofat 2016,Title: Pregabalin is more effective in treating hand osteoarthritis pain than duloxetine or placebo: A double-blind randomized controlled trial,Duloxetine 60mg,Duloxetine,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird 2000,"Title: Paroxetine versus amitriptyline for treatment of depression associated with rheumatoid arthritis: a randomized, double blind, parallel group study",Paroxetine 20-40mg,Paroxetine,Antidepressant,,,,,,,,,,,,,,,56,53,,,,,,,,,,,,
Bird 2000,"Title: Paroxetine versus amitriptyline for treatment of depression associated with rheumatoid arthritis: a randomized, double blind, parallel group study",Amitriptyline 75-150mg,Amitriptyline,Antidepressant,,,,,,,,,,,,,,,67.7,65,,,,,,,,,,,,
Lipone 2020,Title: Efficacy and Safety of Low Doses of Trazodone in Patients Affected by Painful Diabetic Neuropathy and Treated with Gabapentin: A Randomized Controlled Pilot Study,Placebo + Gabapentin - 2400mg,NA,Placebo + Anticonvulsant,,,,,,,,,,,,,41.7,20,,,,,,,,,,,,,,
Lipone 2020,Title: Efficacy and Safety of Low Doses of Trazodone in Patients Affected by Painful Diabetic Neuropathy and Treated with Gabapentin: A Randomized Controlled Pilot Study,Trazodone - 30mg + Gabapentin - 2400mg,Trazodone,Antidepressant + anticonvulsant,,,,,,,,,,,,,62.8,27,,,,,,,,,,,,,,
Lipone 2020,Title: Efficacy and Safety of Low Doses of Trazodone in Patients Affected by Painful Diabetic Neuropathy and Treated with Gabapentin: A Randomized Controlled Pilot Study,Trazodone - 60mg + Gabapentin - 2400mg,Trazodone,Antidepressant + Anticonvulsant,,,,,,,,,,,,,41.2,21,,,,,,,,,,,,,,
Foster 2010,Title: Oral desipramine and topical lidocaine for vulvodynia: a randomized controlled trial,Placebo,Placebo,Placebo tablet + placebo cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foster 2010,Title: Oral desipramine and topical lidocaine for vulvodynia: a randomized controlled trial,Lidocaine-Placebo,Topical lidocaine,Placebo tablet + topical  local anaesthetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foster 2010,Title: Oral desipramine and topical lidocaine for vulvodynia: a randomized controlled trial,Desipramine-Placebo,Desipramine,Antidepressant + placebo cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foster 2010,Title: Oral desipramine and topical lidocaine for vulvodynia: a randomized controlled trial,Desipramine-Lidocaine,Desipramine + topical lidocaine,Antidepressant + topical  local anaesthetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gao 2015,Title: Treatment of patients with diabetic peripheral neuropathic pain in China: a double-blind randomised trial of duloxetine vs. placebo,Placebo,NA,Placebo,,,,,,,,,,,,,,,35.6,72,,,,,,,,,,,,
